step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,signal,desired_pos,part_gap,part_pen,reward
64,8.71,-0.007972665148063612,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
65,8.39,-0.03673938002296214,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
66,8.58,0.02264600715137062,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
67,8.2,-0.04428904428904438,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
68,8.43,0.028048780487804934,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
69,9.47,0.12336892052194555,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
70,9.01,-0.04857444561774032,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.14934174411289752,0.11947339529031803,0.11947339529031803,0.0030052211665874324,-0.007662413972470321
71,9.01,0.0,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.06530628093180985,0.05224502474544788,0.05224502474544788,0.0008000449941280118,-0.0028647437608743456
72,8.82,-0.021087680355160877,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0164928705514511,0.01319429644116088,0.01319429644116088,8.848313248160262e-05,-0.0006472881889938689
73,8.91,0.010204081632653045,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.07161824008868053,0.05729459207094443,0.05729459207094443,0.0009273086695689945,-0.003186731376304789
74,8.89,-0.00224466891133553,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.05102192330412181,0.04081753864329745,0.04081753864329745,0.0005390107285967369,-0.002163037062528895
75,8.92,0.003374578177727712,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
76,9.07,0.01681614349775789,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
77,9.17,0.011025358324145496,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.0,0.0,0.0,0.0,-5e-05
78,9.43,0.028353326063249706,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.11033362285413494,0.08826689828330796,0.08826689828330796,0.0018514802958907721,-0.005305272560940835
79,9.42,-0.0010604453870625436,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.21764356148560798,0.1741148491884864,0.1741148491884864,0.005490094337072647,-0.012254398208903653
80,9.61,0.02016985138004241,-0.8837794065475464,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0021727207085223,1.0068723867791392,0.004667588596456147,0.0,0.2287979021757015,0.18303832174056123,0.18303832174056123,0.005947161737842755,-0.013055577019963146
